id,label
0,3
1,1
2,5
3,4
4,8
5,9
6,3
7,3
8,2
9,9
10,3
11,2
12,9
13,8
14,1
15,8
16,5
17,0
18,1
19,1
20,3
21,3
22,1
23,4
24,4
25,8
26,1
27,3
28,4
29,5
30,6
31,7
32,1
33,5
34,9
35,0
36,1
37,6
38,7
39,3
40,1
41,7
42,4
43,2
44,8
45,0
46,5
47,0
48,5
49,0
50,3
51,0
52,7
53,4
54,9
55,5
56,4
57,1
58,3
59,5
60,4
61,3
62,7
63,1
64,1
65,0
66,3
67,9
68,0
69,0
70,5
71,5
72,7
73,1
74,0
75,7
76,0
77,4
78,5
79,9
80,9
81,1
82,4
83,9
84,4
85,0
86,9
87,4
88,8
89,5
90,5
91,4
92,7
93,0
94,3
95,4
96,3
97,6
98,4
99,0
100,4
101,3
102,3
103,4
104,5
105,9
106,7
107,8
108,5
109,9
110,1
111,8
112,0
113,7
114,7
115,8
116,0
117,0
118,5
119,5
120,3
121,0
122,3
123,0
124,1
125,0
126,4
127,5
128,6
129,5
130,5
131,5
132,5
133,3
134,3
135,5
136,2
137,4
138,6
139,1
140,3
141,9
142,1
143,2
144,5
145,6
146,1
147,9
148,3
149,2
150,3
151,7
152,3
153,4
154,7
155,7
156,5
157,9
158,9
159,7
160,5
161,0
162,0
163,0
164,4
165,5
166,0
167,7
168,0
169,5
170,4
171,9
172,7
173,7
174,7
175,6
176,0
177,5
178,6
179,4
180,0
181,1
182,7
183,0
184,5
185,0
186,1
187,3
188,9
189,4
190,0
191,3
192,5
193,1
194,1
195,0
196,7
197,0
198,1
199,7
200,1
201,3
202,8
203,3
204,4
205,3
206,1
207,4
208,4
209,3
210,2
211,8
212,3
213,7
214,5
215,0
216,7
217,0
218,5
219,1
220,4
221,5
222,9
223,2
224,5
225,1
226,0
227,8
228,4
229,5
230,5
231,9
232,7
233,4
234,1
235,0
236,9
237,4
238,0
239,4
240,2
241,2
242,8
243,1
244,8
245,6
246,2
247,3
248,5
249,5
250,5
251,4
252,8
253,4
254,7
255,4
256,4
257,4
258,2
259,8
260,3
261,0
262,5
263,5
264,3
265,3
266,0
267,0
268,9
269,0
270,7
271,9
272,0
273,1
274,7
275,1
276,4
277,8
278,0
279,9
280,4
281,4
282,9
283,3
284,1
285,6
286,0
287,7
288,3
289,5
290,1
291,8
292,1
293,4
294,4
295,9
296,3
297,3
298,7
299,1
300,4
301,5
302,1
303,5
304,5
305,3
306,5
307,1
308,9
309,5
310,8
311,9
312,0
313,4
314,1
315,4
316,7
317,0
318,3
319,9
320,1
321,7
322,4
323,0
324,6
325,0
326,1
327,8
328,0
329,2
330,9
331,4
332,2
333,7
334,5
335,7
336,5
337,6
338,1
339,5
340,3
341,5
342,5
343,0
344,8
345,0
346,4
347,9
348,1
349,6
350,7
351,1
352,9
353,9
354,3
355,7
356,8
357,0
358,0
359,3
360,9
361,1
362,3
363,1
364,1
365,4
366,5
367,8
368,7
369,4
370,7
371,9
372,9
373,2
374,5
375,0
376,5
377,0
378,5
379,1
380,0
381,6
382,0
383,4
384,3
385,0
386,7
387,2
388,7
389,0
390,5
391,1
392,9
393,3
394,5
395,0
396,3
397,0
398,4
399,6
400,3
401,4
402,9
403,2
404,3
405,5
406,9
407,5
408,0
409,9
410,4
411,1
412,6
413,3
414,3
415,0
416,4
417,8
418,3
419,5
420,8
421,0
422,6
423,5
424,7
425,5
426,6
427,5
428,5
429,3
430,0
431,5
432,8
433,0
434,5
435,7
436,9
437,0
438,8
439,4
440,9
441,3
442,2
443,3
444,3
445,5
446,0
447,5
448,9
449,4
450,9
451,7
452,5
453,4
454,4
455,5
456,7
457,5
458,9
459,0
460,7
461,1
462,4
463,5
464,0
465,5
466,0
467,0
468,6
469,1
470,4
471,4
472,3
473,3
474,9
475,3
476,2
477,5
478,8
479,1
480,6
481,4
482,7
483,7
484,6
485,7
486,0
487,4
488,6
489,9
490,0
491,9
492,1
493,0
494,1
495,7
496,3
497,9
498,1
499,6
500,7
501,7
502,1
503,4
504,0
505,9
506,6
507,3
508,5
509,7
510,2
511,0
512,5
513,5
514,5
515,3
516,0
517,4
518,8
519,9
520,4
521,1
522,7
523,6
524,4
525,0
526,4
527,3
528,4
529,7
530,0
531,8
532,6
533,2
534,6
535,2
536,3
537,0
538,9
539,7
540,9
541,4
542,9
543,4
544,8
545,3
546,7
547,2
548,0
549,1
550,0
551,4
552,4
553,0
554,9
555,2
556,9
557,9
558,2
559,6
560,1
561,0
562,3
563,0
564,5
565,5
566,0
567,1
568,3
569,0
570,9
571,7
572,3
573,9
574,2
575,7
576,0
577,1
578,3
579,3
580,1
581,1
582,7
583,1
584,4
585,0
586,5
587,9
588,5
589,4
590,0
591,3
592,0
593,4
594,1
595,6
596,6
597,0
598,5
599,0
600,5
601,7
602,5
603,9
604,9
605,0
606,6
607,3
608,1
609,1
610,3
611,4
612,5
613,4
614,1
615,7
616,3
617,1
618,5
619,5
620,0
621,8
622,0
623,0
624,3
625,3
626,4
627,7
628,5
629,3
630,9
631,1
632,5
633,0
634,0
635,0
636,6
637,2
638,5
639,3
640,6
641,1
642,9
643,3
644,8
645,4
646,9
647,0
648,7
649,3
650,5
651,0
652,0
653,3
654,5
655,4
656,0
657,3
658,5
659,4
660,8
661,9
662,6
663,1
664,0
665,2
666,4
667,0
668,0
669,3
670,7
671,7
672,0
673,0
674,5
675,9
676,8
677,0
678,6
679,5
680,5
681,1
682,5
683,6
684,9
685,8
686,3
687,2
688,3
689,5
690,0
691,4
692,0
693,5
694,0
695,2
696,5
697,6
698,5
699,5
700,5
701,2
702,8
703,6
704,7
705,9
706,4
707,5
708,9
709,7
710,1
711,5
712,3
713,9
714,7
715,2
716,3
717,3
718,0
719,2
720,6
721,7
722,2
723,0
724,5
725,5
726,5
727,4
728,2
729,9
730,5
731,5
732,5
733,1
734,8
735,5
736,5
737,1
738,3
739,0
740,4
741,9
742,9
743,4
744,1
745,6
746,0
747,4
748,5
749,8
750,9
751,8
752,5
753,4
754,5
755,1
756,1
757,4
758,1
759,4
760,5
761,6
762,0
763,4
764,3
765,2
766,2
767,1
768,1
769,0
770,4
771,1
772,3
773,4
774,1
775,3
776,1
777,0
778,2
779,4
780,4
781,2
782,2
783,7
784,8
785,1
786,9
787,9
788,5
789,1
790,0
791,6
792,8
793,4
794,3
795,9
796,0
797,1
798,5
799,1
800,0
801,9
802,7
803,7
804,4
805,7
806,0
807,1
808,2
809,3
810,6
811,3
812,1
813,3
814,6
815,4
816,2
817,1
818,0
819,7
820,0
821,4
822,1
823,7
824,9
825,0
826,4
827,3
828,4
829,1
830,4
831,0
832,0
833,9
834,7
835,5
836,9
837,9
838,3
839,9
840,6
841,3
842,7
843,0
844,5
845,1
846,5
847,0
848,1
849,0
850,4
851,0
852,1
853,4
854,3
855,9
856,5
857,0
858,3
859,7
860,4
861,3
862,1
863,5
864,9
865,0
866,6
867,6
868,1
869,0
870,7
871,2
872,4
873,5
874,5
875,3
876,5
877,3
878,1
879,9
880,6
881,1
882,4
883,7
884,3
885,3
886,9
887,5
888,5
889,9
890,4
891,1
892,4
893,5
894,8
895,3
896,3
897,8
898,3
899,0
900,8
901,3
902,1
903,8
904,5
905,9
906,3
907,7
908,9
909,1
910,0
911,0
912,6
913,5
914,2
915,9
916,6
917,0
918,9
919,8
920,4
921,2
922,4
923,4
924,5
925,3
926,0
927,4
928,0
929,9
930,4
931,6
932,1
933,0
934,8
935,4
936,8
937,1
938,3
939,7
940,1
941,0
942,5
943,1
944,0
945,3
946,3
947,6
948,1
949,2
950,4
951,7
952,0
953,9
954,7
955,0
956,0
957,1
958,1
959,3
960,0
961,7
962,4
963,1
964,3
965,4
966,4
967,4
968,3
969,0
970,5
971,5
972,9
973,3
974,7
975,5
976,3
977,3
978,5
979,3
980,7
981,5
982,1
983,7
984,7
985,1
986,8
987,0
988,6
989,1
990,9
991,9
992,0
993,8
994,9
995,7
996,7
997,0
998,6
999,7
1000,9
1001,8
1002,4
1003,5
1004,0
1005,1
1006,7
1007,1
1008,0
1009,3
1010,4
1011,3
1012,7
1013,3
1014,1
1015,1
1016,5
1017,6
1018,7
1019,1
1020,7
1021,6
1022,9
1023,4
1024,8
1025,7
1026,3
1027,6
1028,9
1029,5
1030,1
1031,0
1032,8
1033,9
1034,7
1035,7
1036,0
1037,2
1038,9
1039,4
1040,3
1041,5
1042,9
1043,3
1044,4
1045,3
1046,3
1047,7
1048,9
1049,9
1050,9
1051,0
1052,3
1053,3
1054,5
1055,1
1056,6
1057,5
1058,4
1059,1
1060,5
1061,5
1062,0
1063,0
1064,3
1065,3
1066,8
1067,8
1068,5
1069,7
1070,6
1071,6
1072,2
1073,4
1074,7
1075,3
1076,6
1077,3
1078,0
1079,5
1080,3
1081,4
1082,7
1083,3
1084,7
1085,9
1086,9
1087,4
1088,2
1089,0
